policy_number,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship
238412,477356,MALE,MD,tech-support,video-games,unmarried
484321,434669,MALE,PhD,armed-forces,hiking,not-in-family
795847,609322,FEMALE,PhD,farming-fishing,kayaking,wife
218456,614265,MALE,JD,exec-managerial,chess,other-relative
792673,606177,FEMALE,Masters,other-service,golf,other-relative
662256,461514,MALE,High School,adm-clerical,polo,husband
971338,454685,MALE,MD,farming-fishing,cross-fit,other-relative
714738,477260,MALE,Masters,armed-forces,chess,unmarried
753844,469126,MALE,MD,sales,yachting,other-relative
976645,443402,MALE,College,exec-managerial,sleeping,wife
918037,479408,FEMALE,Masters,priv-house-serv,polo,other-relative
996253,467227,MALE,JD,handlers-cleaners,golf,not-in-family
373731,468433,MALE,JD,armed-forces,camping,unmarried
836272,604289,MALE,High School,armed-forces,video-games,own-child
167231,471366,MALE,Associate,adm-clerical,exercise,husband
743330,450746,MALE,High School,other-service,golf,husband
807369,614948,FEMALE,High School,armed-forces,yachting,other-relative
735307,473935,MALE,College,prof-specialty,exercise,own-child
789208,617267,MALE,JD,transport-moving,cross-fit,not-in-family
585324,470670,MALE,High School,armed-forces,movies,unmarried
498759,450368,FEMALE,High School,machine-op-inspct,reading,unmarried
795004,448809,MALE,MD,machine-op-inspct,camping,wife
203250,469653,FEMALE,Masters,adm-clerical,reading,not-in-family
430794,615688,FEMALE,Associate,armed-forces,board-games,own-child
156636,465631,MALE,PhD,prof-specialty,camping,unmarried
284143,443344,MALE,Associate,machine-op-inspct,hiking,husband
740518,441363,MALE,College,tech-support,base-jumping,wife
445289,462683,MALE,MD,exec-managerial,exercise,not-in-family
599262,463184,FEMALE,PhD,craft-repair,camping,own-child
357949,612826,FEMALE,JD,craft-repair,paintball,other-relative
493161,433155,MALE,Masters,tech-support,sleeping,husband
320251,616120,FEMALE,Associate,armed-forces,exercise,husband
231127,461744,FEMALE,PhD,handlers-cleaners,board-games,own-child
766193,475916,FEMALE,JD,farming-fishing,skydiving,wife
555374,454434,MALE,MD,sales,reading,other-relative
491484,464353,FEMALE,PhD,tech-support,paintball,other-relative
925128,610302,MALE,High School,prof-specialty,yachting,husband
265093,462106,FEMALE,High School,machine-op-inspct,board-games,unmarried
267808,431389,MALE,College,sales,golf,unmarried
116735,442866,MALE,High School,priv-house-serv,reading,husband
963680,446755,FEMALE,JD,sales,paintball,husband
445694,464743,MALE,JD,other-service,hiking,not-in-family
215534,437889,FEMALE,College,transport-moving,chess,not-in-family
232854,473638,FEMALE,College,other-service,cross-fit,husband
168260,444232,FEMALE,JD,tech-support,movies,other-relative
538955,477695,FEMALE,College,adm-clerical,exercise,wife
243226,458237,MALE,High School,armed-forces,hiking,own-child
246435,441499,MALE,JD,protective-serv,camping,other-relative
582480,613436,FEMALE,Associate,tech-support,exercise,unmarried
345539,448912,MALE,JD,transport-moving,hiking,own-child
924318,468872,FEMALE,PhD,farming-fishing,skydiving,not-in-family
726880,619811,MALE,College,farming-fishing,hiking,other-relative
190588,614166,FEMALE,MD,craft-repair,video-games,own-child
246705,456600,FEMALE,Associate,tech-support,skydiving,own-child
619589,618405,FEMALE,JD,prof-specialty,exercise,own-child
164988,430832,FEMALE,High School,prof-specialty,kayaking,husband
729534,610989,FEMALE,Masters,sales,basketball,other-relative
505014,447750,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family
920826,608708,FEMALE,High School,sales,video-games,other-relative
534982,469650,FEMALE,Masters,sales,exercise,unmarried
110408,602304,FEMALE,College,prof-specialty,dancing,not-in-family
283052,459878,MALE,PhD,craft-repair,skydiving,own-child
840806,441142,MALE,JD,adm-clerical,paintball,not-in-family
382394,465667,FEMALE,PhD,armed-forces,sleeping,wife
876699,473109,FEMALE,College,sales,dancing,wife
871432,619794,MALE,MD,tech-support,basketball,husband
379882,602258,FEMALE,Associate,priv-house-serv,reading,other-relative
852002,479724,MALE,High School,adm-clerical,paintball,own-child
372891,442210,FEMALE,College,prof-specialty,hiking,other-relative
689034,463291,FEMALE,PhD,other-service,reading,wife
743092,474898,FEMALE,JD,farming-fishing,paintball,other-relative
599174,431354,FEMALE,MD,prof-specialty,paintball,husband
421092,617460,FEMALE,Masters,protective-serv,golf,not-in-family
349658,609317,MALE,MD,prof-specialty,yachting,husband
811042,479821,FEMALE,Associate,sales,paintball,own-child
505316,473394,MALE,MD,prof-specialty,board-games,wife
116645,603882,MALE,MD,armed-forces,polo,unmarried
950880,615229,MALE,JD,tech-support,golf,other-relative
788502,620197,MALE,PhD,armed-forces,dancing,own-child
627486,438215,MALE,High School,transport-moving,basketball,unmarried
498842,444583,MALE,Associate,armed-forces,basketball,wife
550294,471866,MALE,Masters,handlers-cleaners,chess,not-in-family
328387,616884,FEMALE,High School,tech-support,camping,unmarried
540152,448310,FEMALE,JD,sales,hiking,not-in-family
385932,478902,MALE,Masters,transport-moving,board-games,wife
618682,442695,MALE,College,other-service,sleeping,own-child
550930,613826,MALE,PhD,craft-repair,polo,own-child
998192,476203,FEMALE,College,exec-managerial,yachting,not-in-family
663938,604333,FEMALE,PhD,craft-repair,movies,not-in-family
756870,442604,MALE,Masters,farming-fishing,bungie-jumping,own-child
337158,435663,MALE,MD,protective-serv,chess,wife
919875,470866,FEMALE,College,adm-clerical,dancing,own-child
315631,612908,FEMALE,Associate,other-service,hiking,not-in-family
113464,441871,FEMALE,JD,protective-serv,hiking,own-child
556415,431496,FEMALE,PhD,exec-managerial,exercise,not-in-family
250249,436499,FEMALE,High School,exec-managerial,dancing,unmarried
403776,469853,MALE,High School,craft-repair,movies,wife
396002,605369,MALE,JD,machine-op-inspct,camping,other-relative
976908,448466,MALE,College,craft-repair,camping,own-child
509489,432786,MALE,JD,prof-specialty,movies,unmarried
485295,473591,FEMALE,JD,adm-clerical,paintball,own-child
361829,618418,FEMALE,Masters,other-service,paintball,wife
603632,444558,MALE,JD,farming-fishing,board-games,not-in-family
783494,457733,MALE,JD,tech-support,chess,wife
439049,466161,MALE,PhD,other-service,skydiving,husband
502634,450800,MALE,MD,other-service,dancing,wife
378588,458993,MALE,High School,transport-moving,board-games,not-in-family
794731,468634,MALE,PhD,machine-op-inspct,polo,not-in-family
641934,461264,MALE,PhD,machine-op-inspct,camping,unmarried
113516,600184,MALE,High School,sales,base-jumping,own-child
425631,604874,MALE,Associate,protective-serv,movies,husband
542245,462377,FEMALE,JD,farming-fishing,movies,other-relative
512894,619657,MALE,Masters,protective-serv,polo,unmarried
633090,437323,FEMALE,High School,priv-house-serv,exercise,wife
464234,432148,MALE,MD,machine-op-inspct,yachting,wife
290162,439690,MALE,College,sales,yachting,own-child
638155,601848,FEMALE,JD,exec-managerial,yachting,not-in-family
911429,615821,MALE,Masters,other-service,skydiving,not-in-family
106186,472475,FEMALE,Associate,priv-house-serv,hiking,husband
311783,457463,FEMALE,College,handlers-cleaners,chess,husband
528385,604861,FEMALE,Associate,armed-forces,yachting,not-in-family
228403,471519,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family
209177,618682,FEMALE,JD,craft-repair,polo,wife
497929,441425,MALE,High School,sales,sleeping,wife
735844,609336,MALE,JD,farming-fishing,exercise,own-child
710741,603320,FEMALE,College,prof-specialty,golf,other-relative
276804,615446,FEMALE,JD,priv-house-serv,chess,unmarried
507545,435967,FEMALE,High School,sales,camping,other-relative
485642,610246,FEMALE,Masters,handlers-cleaners,bungie-jumping,other-relative
796375,479327,MALE,High School,exec-managerial,cross-fit,other-relative
171183,468300,MALE,Masters,machine-op-inspct,bungie-jumping,wife
110084,612660,MALE,JD,sales,chess,own-child
714784,466691,FEMALE,Masters,adm-clerical,video-games,own-child
143924,468515,MALE,JD,armed-forces,movies,other-relative
996850,614521,MALE,High School,machine-op-inspct,reading,not-in-family
284834,465921,FEMALE,Associate,priv-house-serv,golf,own-child
830878,604555,FEMALE,Masters,exec-managerial,reading,wife
270208,616276,FEMALE,MD,adm-clerical,polo,wife
407958,463356,MALE,Masters,priv-house-serv,dancing,wife
832300,450184,MALE,Masters,machine-op-inspct,kayaking,husband
927205,466393,MALE,MD,exec-managerial,kayaking,unmarried
655356,471786,FEMALE,Associate,adm-clerical,chess,not-in-family
831053,602289,MALE,High School,handlers-cleaners,board-games,not-in-family
432740,445120,MALE,MD,sales,yachting,wife
893853,449260,MALE,High School,tech-support,paintball,other-relative
594988,472724,FEMALE,JD,transport-moving,board-games,unmarried
979544,475173,MALE,MD,tech-support,sleeping,husband
191891,443854,MALE,JD,farming-fishing,video-games,husband
831479,461418,FEMALE,Associate,machine-op-inspct,kayaking,own-child
714346,616164,FEMALE,MD,machine-op-inspct,chess,husband
326289,620962,FEMALE,Masters,transport-moving,polo,own-child
944537,465201,MALE,MD,protective-serv,camping,wife
779156,470488,MALE,High School,machine-op-inspct,yachting,unmarried
856153,462250,MALE,Associate,sales,reading,not-in-family
473338,436408,FEMALE,MD,machine-op-inspct,hiking,own-child
521694,464230,MALE,Masters,sales,camping,not-in-family
136520,478609,MALE,Associate,exec-managerial,base-jumping,husband
730819,437156,FEMALE,JD,protective-serv,hiking,wife
912665,432218,FEMALE,High School,craft-repair,chess,wife
469966,620493,FEMALE,MD,machine-op-inspct,kayaking,other-relative
952300,475391,FEMALE,Associate,prof-specialty,video-games,husband
322609,440720,MALE,Masters,transport-moving,golf,not-in-family
890280,606942,FEMALE,MD,craft-repair,dancing,husband
431583,446971,FEMALE,Masters,handlers-cleaners,bungie-jumping,husband
155912,470538,FEMALE,High School,craft-repair,chess,wife
110143,601177,MALE,High School,craft-repair,polo,own-child
808544,451470,MALE,Masters,craft-repair,dancing,unmarried
409074,438529,FEMALE,PhD,priv-house-serv,chess,husband
824728,469742,MALE,Associate,adm-clerical,video-games,not-in-family
606037,435534,FEMALE,Masters,armed-forces,movies,husband
636843,442239,FEMALE,JD,other-service,base-jumping,unmarried
111874,468986,FEMALE,High School,exec-managerial,golf,husband
439844,606988,FEMALE,Masters,prof-specialty,paintball,not-in-family
463513,453719,MALE,College,armed-forces,bungie-jumping,wife
577858,475524,FEMALE,MD,adm-clerical,golf,not-in-family
607351,617804,MALE,High School,exec-managerial,yachting,unmarried
682754,613399,MALE,College,craft-repair,bungie-jumping,husband
757352,453400,MALE,Associate,other-service,base-jumping,other-relative
307469,615767,MALE,MD,tech-support,chess,not-in-family
526296,615311,FEMALE,High School,transport-moving,cross-fit,other-relative
658816,468470,FEMALE,College,handlers-cleaners,board-games,husband
913337,461383,MALE,College,prof-specialty,yachting,wife
488464,457727,FEMALE,High School,adm-clerical,movies,husband
480094,613327,FEMALE,High School,craft-repair,golf,other-relative
263108,614941,MALE,Associate,handlers-cleaners,kayaking,other-relative
298412,440680,MALE,Associate,machine-op-inspct,yachting,other-relative
261905,609949,MALE,High School,transport-moving,cross-fit,other-relative
674485,479655,FEMALE,Associate,machine-op-inspct,camping,other-relative
223404,439964,MALE,JD,sales,video-games,other-relative
991480,478486,MALE,College,adm-clerical,sleeping,unmarried
804219,466498,MALE,College,farming-fishing,skydiving,husband
483088,430878,FEMALE,PhD,armed-forces,skydiving,not-in-family
100804,600127,FEMALE,High School,adm-clerical,reading,wife
941807,431968,FEMALE,Masters,prof-specialty,paintball,wife
593466,462804,MALE,Associate,priv-house-serv,chess,other-relative
437442,435809,FEMALE,Masters,sales,paintball,not-in-family
942106,453193,MALE,JD,machine-op-inspct,hiking,husband
794951,459630,MALE,Masters,machine-op-inspct,sleeping,not-in-family
182450,608982,MALE,JD,transport-moving,bungie-jumping,husband
730973,452218,FEMALE,MD,craft-repair,camping,wife
687755,434150,MALE,Masters,sales,exercise,other-relative
757644,460579,FEMALE,Masters,other-service,dancing,not-in-family
998865,442142,FEMALE,College,farming-fishing,golf,wife
944953,608807,MALE,College,adm-clerical,polo,wife
386429,433153,MALE,High School,tech-support,exercise,other-relative
108270,436560,MALE,MD,adm-clerical,sleeping,own-child
205134,436784,MALE,JD,other-service,paintball,husband
749325,430621,FEMALE,High School,machine-op-inspct,reading,wife
774303,601574,FEMALE,Masters,farming-fishing,camping,own-child
698470,433853,MALE,MD,machine-op-inspct,hiking,not-in-family
719989,453164,MALE,Associate,armed-forces,polo,unmarried
309323,613931,MALE,JD,other-service,skydiving,other-relative
444035,607458,MALE,High School,handlers-cleaners,chess,wife
431478,463835,MALE,College,prof-specialty,reading,wife
797634,613945,MALE,Masters,priv-house-serv,polo,wife
284836,432699,FEMALE,High School,tech-support,golf,husband
238196,613119,MALE,JD,transport-moving,video-games,not-in-family
885789,472922,MALE,High School,exec-managerial,bungie-jumping,other-relative
287436,613849,MALE,PhD,armed-forces,sleeping,not-in-family
496067,603827,FEMALE,PhD,handlers-cleaners,skydiving,own-child
206004,467780,FEMALE,High School,tech-support,movies,other-relative
153027,460586,MALE,JD,prof-specialty,paintball,husband
469426,613842,MALE,PhD,machine-op-inspct,kayaking,husband
654974,435371,FEMALE,High School,protective-serv,reading,husband
943425,466289,FEMALE,Masters,farming-fishing,movies,wife
641845,436173,MALE,College,transport-moving,kayaking,unmarried
794534,457234,FEMALE,Associate,tech-support,sleeping,unmarried
357808,474758,FEMALE,Associate,other-service,reading,husband
536052,477373,FEMALE,Masters,transport-moving,video-games,husband
873384,613471,FEMALE,MD,tech-support,paintball,husband
790225,601581,FEMALE,Associate,exec-managerial,base-jumping,other-relative
587498,612102,MALE,High School,tech-support,camping,wife
639027,460263,MALE,High School,sales,cross-fit,unmarried
217899,479134,FEMALE,Masters,machine-op-inspct,exercise,own-child
589094,451467,FEMALE,JD,tech-support,cross-fit,unmarried
458829,602670,FEMALE,Masters,handlers-cleaners,movies,not-in-family
626208,613607,FEMALE,High School,farming-fishing,chess,husband
315041,611556,FEMALE,MD,priv-house-serv,video-games,husband
283267,435518,MALE,College,handlers-cleaners,chess,husband
442494,465942,MALE,Associate,other-service,exercise,other-relative
159243,446174,MALE,JD,protective-serv,base-jumping,own-child
669800,611651,FEMALE,MD,protective-serv,chess,own-child
520179,446657,MALE,High School,transport-moving,reading,own-child
607974,612506,FEMALE,Masters,handlers-cleaners,paintball,wife
465065,618493,MALE,College,prof-specialty,hiking,other-relative
369941,612664,MALE,MD,prof-specialty,basketball,wife
447226,473653,MALE,Masters,priv-house-serv,golf,other-relative
831668,454529,FEMALE,Masters,exec-managerial,exercise,husband
922937,437422,MALE,Associate,prof-specialty,golf,own-child
640474,619470,MALE,Associate,craft-repair,dancing,own-child
153298,442666,MALE,Masters,sales,kayaking,other-relative
334749,620507,FEMALE,Associate,handlers-cleaners,polo,unmarried
221283,614867,MALE,Associate,prof-specialty,base-jumping,other-relative
961496,609898,MALE,PhD,prof-specialty,kayaking,other-relative
804751,450702,FEMALE,College,tech-support,movies,own-child
369226,600418,MALE,PhD,adm-clerical,sleeping,unmarried
691115,431202,MALE,JD,farming-fishing,polo,not-in-family
713172,457793,FEMALE,College,protective-serv,cross-fit,other-relative
621756,470190,FEMALE,College,farming-fishing,camping,own-child
615116,603733,FEMALE,MD,prof-specialty,camping,husband
947598,465136,FEMALE,High School,transport-moving,polo,other-relative
658002,611723,FEMALE,Associate,prof-specialty,bungie-jumping,husband
374545,608963,FEMALE,PhD,craft-repair,skydiving,wife
805806,454139,MALE,JD,adm-clerical,basketball,husband
235097,447560,FEMALE,MD,exec-managerial,exercise,unmarried
290971,444378,MALE,JD,other-service,dancing,unmarried
180286,616583,FEMALE,High School,exec-managerial,exercise,husband
662088,455913,FEMALE,College,prof-specialty,kayaking,own-child
884365,454399,MALE,Associate,sales,camping,not-in-family
178081,602842,FEMALE,MD,craft-repair,reading,husband
507452,459428,MALE,College,adm-clerical,golf,not-in-family
990624,613114,MALE,PhD,machine-op-inspct,board-games,not-in-family
892148,450709,MALE,PhD,exec-managerial,hiking,husband
398683,444626,MALE,MD,sales,yachting,own-child
605100,601206,MALE,Masters,exec-managerial,reading,unmarried
143109,470389,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family
230223,615218,FEMALE,MD,sales,skydiving,own-child
769602,606249,FEMALE,College,machine-op-inspct,cross-fit,husband
420815,616161,FEMALE,MD,tech-support,kayaking,wife
973546,442335,FEMALE,Associate,priv-house-serv,movies,not-in-family
608039,604952,FEMALE,PhD,handlers-cleaners,movies,not-in-family
250162,441533,MALE,PhD,machine-op-inspct,golf,unmarried
786432,471784,MALE,JD,sales,movies,not-in-family
445195,453265,FEMALE,MD,protective-serv,hiking,unmarried
938634,444922,MALE,High School,machine-op-inspct,cross-fit,wife
482495,474324,MALE,Masters,prof-specialty,yachting,husband
796005,441298,MALE,College,machine-op-inspct,basketball,unmarried
910604,446606,MALE,High School,prof-specialty,bungie-jumping,wife
327488,459537,FEMALE,Associate,protective-serv,hiking,not-in-family
715202,440757,FEMALE,Masters,armed-forces,kayaking,unmarried
648852,604948,MALE,College,protective-serv,paintball,wife
516959,433275,MALE,PhD,craft-repair,basketball,wife
984456,608309,FEMALE,College,adm-clerical,paintball,wife
801331,462767,FEMALE,High School,handlers-cleaners,basketball,husband
786103,471785,FEMALE,JD,adm-clerical,hiking,own-child
684193,601397,FEMALE,JD,prof-specialty,sleeping,other-relative
247505,477636,FEMALE,MD,transport-moving,movies,husband
259792,441967,FEMALE,High School,adm-clerical,reading,unmarried
185124,454776,MALE,JD,armed-forces,movies,other-relative
760700,431532,FEMALE,JD,prof-specialty,video-games,own-child
362407,614169,MALE,PhD,transport-moving,polo,husband
389525,601425,FEMALE,MD,tech-support,hiking,own-child
179538,477346,FEMALE,College,farming-fishing,paintball,own-child
265437,613587,MALE,High School,machine-op-inspct,yachting,husband
266247,620358,FEMALE,MD,tech-support,kayaking,not-in-family
921851,617699,FEMALE,High School,protective-serv,bungie-jumping,other-relative
488724,430567,FEMALE,JD,sales,skydiving,own-child
192524,439870,MALE,PhD,priv-house-serv,exercise,not-in-family
338070,438837,FEMALE,High School,tech-support,skydiving,wife
865607,458997,FEMALE,Masters,handlers-cleaners,dancing,not-in-family
963285,604147,FEMALE,MD,armed-forces,video-games,other-relative
728491,606638,FEMALE,Associate,tech-support,board-games,other-relative
553436,619620,MALE,PhD,other-service,bungie-jumping,husband
440616,441671,FEMALE,MD,machine-op-inspct,chess,wife
463237,610381,MALE,Associate,machine-op-inspct,cross-fit,husband
753452,602416,MALE,College,priv-house-serv,dancing,unmarried
920554,459562,MALE,College,adm-clerical,board-games,husband
594783,463271,FEMALE,College,tech-support,hiking,wife
725330,458132,FEMALE,JD,sales,reading,not-in-family
607259,448949,MALE,Masters,tech-support,paintball,other-relative
979336,603732,FEMALE,Associate,prof-specialty,cross-fit,husband
865201,608929,MALE,High School,armed-forces,exercise,husband
140977,469875,FEMALE,Masters,farming-fishing,kayaking,wife
787351,443342,MALE,College,transport-moving,hiking,not-in-family
272330,456363,MALE,MD,adm-clerical,movies,unmarried
728025,470826,MALE,Masters,machine-op-inspct,reading,own-child
804608,458582,FEMALE,PhD,craft-repair,paintball,not-in-family
718829,454480,FEMALE,High School,armed-forces,yachting,unmarried
482404,435632,FEMALE,MD,armed-forces,dancing,own-child
331170,442206,MALE,College,transport-moving,video-games,unmarried
753056,468303,FEMALE,JD,armed-forces,kayaking,not-in-family
910365,467762,FEMALE,College,prof-specialty,basketball,other-relative
379268,447188,FEMALE,Masters,machine-op-inspct,chess,not-in-family
362843,469438,MALE,MD,craft-repair,base-jumping,unmarried
135400,462519,MALE,Masters,machine-op-inspct,kayaking,own-child
798579,432534,MALE,College,prof-specialty,dancing,wife
250833,436467,FEMALE,JD,protective-serv,dancing,unmarried
824116,465674,FEMALE,JD,protective-serv,base-jumping,other-relative
322613,442389,MALE,Associate,other-service,bungie-jumping,husband
871305,471614,FEMALE,PhD,handlers-cleaners,kayaking,own-child
488037,442936,FEMALE,Masters,protective-serv,dancing,husband
485813,437944,FEMALE,Masters,transport-moving,cross-fit,not-in-family
886473,473705,FEMALE,MD,prof-specialty,video-games,husband
907113,469363,FEMALE,Masters,tech-support,dancing,own-child
833321,465376,FEMALE,PhD,craft-repair,camping,unmarried
521592,438775,FEMALE,College,adm-clerical,bungie-jumping,wife
254837,457962,MALE,High School,exec-managerial,paintball,husband
634499,477947,MALE,College,prof-specialty,paintball,wife
574707,431104,MALE,High School,prof-specialty,camping,husband
476839,456570,MALE,High School,other-service,basketball,own-child
149601,612986,FEMALE,PhD,machine-op-inspct,polo,not-in-family
630683,615730,MALE,JD,craft-repair,camping,not-in-family
500639,478640,FEMALE,PhD,prof-specialty,basketball,not-in-family
352120,470510,FEMALE,MD,craft-repair,kayaking,not-in-family
569245,439360,FEMALE,JD,transport-moving,skydiving,husband
907012,440251,FEMALE,PhD,priv-house-serv,movies,own-child
700074,600313,FEMALE,MD,priv-house-serv,paintball,husband
866805,452216,FEMALE,Associate,prof-specialty,golf,own-child
951863,478532,MALE,Masters,protective-serv,chess,unmarried
211578,616929,FEMALE,MD,adm-clerical,hiking,own-child
357394,620207,MALE,JD,exec-managerial,movies,other-relative
863749,605743,FEMALE,JD,prof-specialty,paintball,own-child
596914,472814,FEMALE,JD,machine-op-inspct,skydiving,other-relative
684653,464362,MALE,PhD,other-service,reading,wife
528259,456203,MALE,JD,other-service,basketball,wife
797636,468984,FEMALE,JD,transport-moving,kayaking,other-relative
326180,473349,FEMALE,PhD,machine-op-inspct,golf,other-relative
620075,474771,FEMALE,PhD,armed-forces,movies,husband
965187,448294,MALE,Associate,protective-serv,reading,own-child
516182,606606,FEMALE,High School,farming-fishing,golf,own-child
728839,605220,MALE,JD,craft-repair,reading,unmarried
771509,466612,FEMALE,JD,tech-support,reading,husband
264221,463331,MALE,Masters,protective-serv,camping,wife
602704,457843,FEMALE,Associate,prof-specialty,video-games,own-child
672416,609226,FEMALE,Masters,armed-forces,chess,own-child
545506,452942,MALE,Associate,priv-house-serv,golf,not-in-family
777533,609390,FEMALE,Associate,sales,base-jumping,not-in-family
953334,446608,MALE,MD,craft-repair,board-games,own-child
369781,602500,MALE,Associate,priv-house-serv,bungie-jumping,wife
990998,463809,MALE,Associate,prof-specialty,golf,not-in-family
982678,611996,MALE,MD,farming-fishing,video-games,not-in-family
646069,459298,FEMALE,MD,exec-managerial,polo,wife
331683,468158,MALE,Associate,handlers-cleaners,chess,husband
364055,440831,FEMALE,College,machine-op-inspct,golf,wife
521854,603848,MALE,High School,armed-forces,kayaking,own-child
737252,617739,MALE,Associate,tech-support,reading,own-child
344480,607133,MALE,MD,priv-house-serv,reading,husband
898519,437470,FEMALE,College,tech-support,dancing,other-relative
957816,461372,MALE,PhD,exec-managerial,bungie-jumping,own-child
175960,476130,FEMALE,MD,adm-clerical,golf,own-child
489618,452438,FEMALE,Masters,other-service,golf,husband
717044,460517,FEMALE,College,other-service,bungie-jumping,other-relative
101421,444896,FEMALE,Associate,armed-forces,video-games,other-relative
793948,448722,FEMALE,Associate,priv-house-serv,base-jumping,unmarried
737483,477856,FEMALE,Associate,priv-house-serv,polo,other-relative
695117,617721,FEMALE,JD,armed-forces,exercise,husband
167466,454176,FEMALE,JD,protective-serv,skydiving,not-in-family
664732,618127,FEMALE,College,priv-house-serv,chess,other-relative
143038,441923,MALE,JD,farming-fishing,skydiving,husband
979963,604279,FEMALE,JD,exec-managerial,skydiving,not-in-family
467841,440833,FEMALE,JD,prof-specialty,bungie-jumping,husband
219028,451550,FEMALE,Associate,machine-op-inspct,chess,wife
130156,431853,FEMALE,PhD,armed-forces,kayaking,own-child
762951,614274,FEMALE,JD,sales,reading,husband
376879,619148,MALE,MD,tech-support,base-jumping,unmarried
599031,456781,FEMALE,Masters,protective-serv,reading,unmarried
676255,434293,MALE,MD,priv-house-serv,exercise,other-relative
985446,460895,FEMALE,PhD,handlers-cleaners,sleeping,not-in-family
884180,601600,MALE,MD,priv-house-serv,polo,other-relative
571462,465440,MALE,MD,priv-house-serv,video-games,wife
815883,455482,MALE,MD,farming-fishing,skydiving,wife
258265,438877,FEMALE,High School,machine-op-inspct,dancing,not-in-family
569714,479824,FEMALE,Associate,exec-managerial,bungie-jumping,not-in-family
180008,477415,MALE,JD,transport-moving,paintball,not-in-family
633375,614372,MALE,JD,other-service,paintball,husband
556538,465248,FEMALE,High School,craft-repair,exercise,other-relative
669501,449421,MALE,College,armed-forces,exercise,husband
963761,445856,FEMALE,MD,other-service,chess,wife
753005,608525,FEMALE,Masters,craft-repair,sleeping,not-in-family
454758,608813,FEMALE,JD,priv-house-serv,sleeping,other-relative
698589,459295,FEMALE,MD,exec-managerial,camping,other-relative
330119,606144,MALE,Masters,adm-clerical,yachting,husband
164464,476315,MALE,High School,transport-moving,sleeping,husband
927354,475891,MALE,MD,priv-house-serv,movies,not-in-family
231508,462525,MALE,High School,armed-forces,board-games,own-child
272910,606283,MALE,Associate,exec-managerial,board-games,own-child
305758,465252,FEMALE,JD,exec-managerial,sleeping,own-child
950542,449979,FEMALE,PhD,sales,basketball,husband
291544,604681,FEMALE,Associate,craft-repair,paintball,own-child
388616,466390,MALE,Associate,sales,video-games,husband
577992,612316,FEMALE,High School,exec-managerial,sleeping,own-child
342830,474731,MALE,JD,handlers-cleaners,skydiving,other-relative
491170,603260,MALE,PhD,armed-forces,basketball,wife
175553,434370,FEMALE,High School,tech-support,movies,husband
439341,478388,MALE,Associate,adm-clerical,paintball,other-relative
221186,617883,MALE,JD,priv-house-serv,camping,own-child
868031,464808,FEMALE,High School,priv-house-serv,paintball,husband
844117,609458,MALE,MD,priv-house-serv,base-jumping,not-in-family
744557,432405,FEMALE,Masters,transport-moving,skydiving,not-in-family
159536,457875,FEMALE,College,sales,dancing,wife
727109,477268,MALE,JD,exec-managerial,kayaking,other-relative
155604,437580,MALE,Masters,exec-managerial,kayaking,not-in-family
608443,457121,MALE,MD,craft-repair,movies,not-in-family
117862,436364,FEMALE,JD,transport-moving,cross-fit,own-child
991553,467654,FEMALE,High School,sales,chess,wife
727443,471148,MALE,High School,adm-clerical,golf,husband
378587,468202,MALE,PhD,tech-support,chess,not-in-family
420948,456959,MALE,College,prof-specialty,exercise,wife
457188,447274,MALE,High School,protective-serv,chess,own-child
118236,608405,MALE,JD,transport-moving,base-jumping,not-in-family
987524,472253,FEMALE,College,other-service,camping,wife
490596,438923,MALE,MD,priv-house-serv,polo,wife
524215,607131,FEMALE,PhD,other-service,hiking,not-in-family
913464,601701,FEMALE,MD,farming-fishing,skydiving,wife
398484,469220,FEMALE,Associate,adm-clerical,video-games,husband
752504,433250,FEMALE,Masters,transport-moving,video-games,own-child
449263,444413,MALE,Masters,prof-specialty,bungie-jumping,unmarried
844007,433593,MALE,Associate,priv-house-serv,polo,other-relative
686522,458143,FEMALE,JD,sales,yachting,not-in-family
670142,474167,FEMALE,JD,adm-clerical,sleeping,unmarried
607687,476413,FEMALE,College,sales,sleeping,husband
967713,600208,MALE,JD,craft-repair,polo,other-relative
291902,618926,FEMALE,Masters,machine-op-inspct,reading,husband
149839,606219,FEMALE,College,armed-forces,camping,own-child
840225,448436,FEMALE,JD,priv-house-serv,cross-fit,husband
643226,447976,MALE,High School,protective-serv,polo,other-relative
535879,472236,FEMALE,High School,protective-serv,hiking,wife
746630,468232,FEMALE,PhD,prof-specialty,exercise,own-child
598308,620819,FEMALE,MD,other-service,bungie-jumping,unmarried
720356,452349,FEMALE,Associate,craft-repair,movies,own-child
724752,464646,FEMALE,PhD,machine-op-inspct,exercise,husband
148498,472209,FEMALE,PhD,other-service,base-jumping,own-child
110122,459955,FEMALE,Associate,armed-forces,bungie-jumping,own-child
281388,473389,MALE,Associate,prof-specialty,movies,own-child
728600,616767,MALE,High School,handlers-cleaners,yachting,own-child
231548,442948,FEMALE,JD,other-service,hiking,wife
531160,458936,FEMALE,Masters,sales,board-games,own-child
889003,613921,MALE,Masters,sales,exercise,not-in-family
193213,474598,FEMALE,PhD,tech-support,bungie-jumping,wife
